Date,Status,Short Course, Long Course
29 Aug 2023,We are running!,Rocks Reverse</br><a href='https://sydneyharbourrunners.org/assets/images/SHR%20Rocks%20Reverse%20Short.jpeg' target='_blank'>Course Image</a><br><a href='/assets/gpx_files/SHR-Rocks-Reverse.gpx' target='_blank'>GPX File</a><br><a href='https://strava.app.link/PgkjouM6TBb' target='_blank'>Strava Route</a><br>,Rocks Reverse Long</br><a href='/assets/images/SHR Rocks Reverse Long.jpeg' target='_blank'>Course Image</a><br><a href='/assets/gpx_files/SHR-Rocks-Long.gpx' target='_blank'>GPX File</a><br><a href='https://strava.app.link/BWhmmz26TBb' target='_blank'>Strava Route</a><br> 
17 Oct 2023,SHR's 10th Birthday! We are running!,,No long course
24 Oct 2023,We are running!,,
31 Oct 2023,We are running!,,
07 Nov 2023,We are running!,,
30 Jul 2024,We are running!,<a href='/courses/pyrmont/'>Pyrmont</a>,<a href='/courses/blackwattle-bay/'>Blackwattle Bay</a>
06 Aug 2024,We are running!,<a href='/courses/pyrmont/'>Pyrmont</a>,<a href='/courses/blackwattle-bay/'>Blackwattle Bay</a>
13 Aug 2024,We are running!,<a href='/courses/rocks/'>Rocks</a>,<a href='/courses/harbour-bridge-milsons-point/'>Harbour Bridge / Milsons Point</a>
20 Aug 2024,We are running!,<a href='/courses/rocks/'>Rocks</a>,<a href='/courses/harbour-bridge-milsons-point/'>Harbour Bridge / Milsons Point</a>
27 Aug 2024,We are running!,<a href='/courses/pyrmont-barangaroo/'>Pyrmont/Barangaroo</a>,<a href='/courses/supercourse/'>Supercourse</a>
03 Sep 2024,We are running!,<a href='/courses/pyrmont-barangaroo/'>Pyrmont/Barangaroo</a>,<a href='/courses/supercourse/'>Supercourse</a>
10 Sep 2024,We are running!,<a href='/courses/rocks/'>Rocks</a>,<a href='/courses/harbour-bridge-milsons-point/'>Harbour Bridge / Milsons Point</a>
17 Sep 2024,We are running!,<a href='/courses/pyrmont-barangaroo/'>Pyrmont/Barangaroo</a>,<a href='/courses/pyrmont-opera-house/'>Pyrmont/Opera House</a>
24 Sep 2024,We are running!,<a href='/courses/pyrmont/'>Pyrmont</a>,<a href='/courses/blackwattle-bay/'>Blackwattle Bay</a>
01 Oct 2024,We are running!,<a href='/courses/pyrmont/'>Pyrmont</a>,<a href='/courses/blackwattle-bay/'>Blackwattle Bay</a>
08 Oct 2024,We are running!,<a href='/courses/rocks/'>Rocks</a>,<a href='/courses/lavendar-bay/'>Lavendar Bay</a>
15 Oct 2024,We are running!,<a href='/courses/rocks/'>Rocks</a>,<a href='/courses/lavendar-bay/'>Lavendar Bay</a>
22 Oct 2024,We are running!,<a href='/courses/pyrmont/'>Pyrmont</a>,<a href='/courses/blackwattle-bay/'>Blackwattle Bay</a>
29 Oct 2024,We are running!,<a href='/courses/pyrmont/'>Pyrmont</a>,<a href='/courses/blackwattle-bay/'>Blackwattle Bay</a>
05 Nov 2024,Taking a break! - Melbourne Cup,,
12 Nov 2024,We are running!,<a href='/courses/pyrmont/'>Pyrmont</a>,<a href='/courses/blackwattle-bay/'>Blackwattle Bay</a>
19 Nov 2024,We are running!,<a href='/courses/gardens-short/'>Gardens Short</a>,<a href='/courses/gardens-long/'>Gardens Long</a>
26 Nov 2024,We are running!,<a href='/courses/gardens-short/'>Gardens Short</a>,<a href='/courses/gardens-long/'>Gardens Long</a>
03 Dec 2024,We are running!,<a href='/courses/gardens-short/'>Gardens Short</a>,<a href='/courses/gardens-long/'>Gardens Long</a>
10 Dec 2024,We are running!,Santa Hat Run!,Santa Hat Run!
