Date,Time,Status,Short Course,Long Course
01 Sep 2026,6:00pm,We are running!,<a href='/courses/rocks-reverse-short/'>Rocks Reverse</a>,<a href='/courses/harbour-bridge-milsons-point/'>Bridge/Milsons Point</a>
08 Sep 2026,6:00pm,We are running!,<a href='/courses/pyrmont-barangaroo/'>Pyrmont/Rocks</a>,<a href='/courses/opera-house/'>Opera House</a>
15 Sep 2026,6:00pm,We are running!,<a href='/courses/pyrmont-barangaroo/'>Pyrmont/Rocks</a>,<a href='/courses/opera-house/'>Opera House</a>
22 Sep 2026,6:00pm,We are running!,<a href='/courses/pyrmont/'>Pyrmont</a>,<a href='/courses/blackwattle-bay/'>Blackwattle Bay</a>
29 Sep 2026,6:00pm,We are running!,<a href='/courses/pyrmont/'>Pyrmont</a>,<a href='/courses/blackwattle-bay/'>Blackwattle Bay</a>
06 Oct 2026,6:00pm,We are running!,<a href='/courses/pyrmont/'>Pyrmont</a>,<a href='/courses/blackwattle-bay/'>Blackwattle Bay</a>
13 Oct 2026,6:00pm,We are running!,<a href='/courses/rocks/'>Rocks</a>,<a href='/courses/lavender-bay/'>Lavender Bay</a>
20 Oct 2026,6:00pm,We are running!,<a href='/courses/rocks/'>Rocks</a>,<a href='/courses/lavender-bay/'>Lavender Bay</a>
27 Oct 2026,6:00pm,We are running!,<a href='/courses/rocks/'>Rocks</a>,<a href='/courses/lavender-bay/'>Lavender Bay</a>
03 Nov 2026,N/A,Not running - Melbourne Cup,N/A,N/A
10 Nov 2026,6:00pm,We are running!,<a href='/courses/rocks/'>Rocks</a>,<a href='/courses/lavender-bay/'>Lavender Bay</a>
17 Nov 2026,6:00pm,We are running!,<a href='/courses/gardens-short/'>Gardens Short</a>,<a href='/courses/gardens-long/'>Gardens Long</a>
24 Nov 2026,6:00pm,We are running!,<a href='/courses/gardens-short/'>Gardens Short</a>,<a href='/courses/gardens-long/'>Gardens Long</a>
01 Dec 2026,6:00pm,We are running!,<a href='/courses/gardens-short/'>Gardens Short</a>,<a href='/courses/gardens-long/'>Gardens Long</a>
08 Dec 2026,6:00pm,We are running!,<a href='/courses/santa-hat-run/'>Santa Hat Run</a>,N/A
15 Dec 2026,6:00pm,We are running!,<a href='/courses/rushcutters-long/'>Rushcutters</a>,<a href='/courses/rushcutters-long/'>Rushcutters</a>
22 Dec 2026,6:00pm,Not running - holiday break!,N/A,N/A
29 Dec 2026,6:00pm,Not running - holiday break!,N/A,N/A
05 Jan 2027,6:00pm,We are running!,<a href='/courses/pyrmont/'>Pyrmont</a>,N/A
